model,ticker,x,y,r
v02a,HAL,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d,0.8638256802044331
v02a,HAL,roll_sd_ret21d_251d,roll_sd_intraday_251d,0.8636990758697308
v02a,HAL,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d_lag7,0.8624712843522442
v02a,AAPL,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d,0.8620661456613513
v02a,HAL,roll_sd_intraday_251d,roll_sd_ret21d_251d_lag7,0.861134950182923
v02a,HAL,roll_sd_ret1d_147d,roll_sd_ret21d_251d,0.8610066415407661
v02a,FDX,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d,0.8608740971682328
v02a,SBUX,roll_sd_ret1d_61d,roll_sd_intraday_61d,0.86059990103228
v02a,FDX,roll_sd_ret5d_147d_lag11,roll_sd_intraday_251d,0.8602694871756447
v02a,AAPL,atr17_open,roll_sd_ret1d_61d,0.8602100039196106
v02a,AXP,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d_lag19,0.859620774395606
v02a,AXP,roll_sd_ret5d_147d,roll_sd_ret21d_251d,0.8592952179267231
v02a,AXP,roll_sd_ret1d_61d,roll_sd_ret5d_147d,0.858959609995671
v02a,AAPL,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d,0.8580962914241222
v02a,AAPL,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d_lag7,0.8570460190303495
v02a,HAL,roll_sd_intraday_251d,roll_sd_ret21d_251d_lag19,0.8566178093250264
v02a,FDX,roll_sd_ret5d_147d_lag5,roll_sd_intraday_251d,0.8565601623217526
v02a,AMD,roll_sd_ret1d_61d,roll_sd_intraday_61d,0.8555968354702045
v02a,SBUX,roll_sd_ret1d_61d,roll_sd_ret1d_147d,0.8555666458536677
v02a,SBUX,roll_sd_ret1d_147d,roll_sd_intraday_251d,0.8546346464338735
v02a,HAL,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d_lag19,0.8544188929469819
v02a,AXP,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d_lag7,0.8540479989626777
v02a,HAL,roll_sd_ret5d_147d,roll_sd_ret21d_251d,0.8539021330952288
v02a,HAL,roll_sd_ret1d_147d,roll_sd_intraday_251d,0.8530238052917047
v02a,SBUX,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d,0.8526103361611779
v02a,AAPL,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d_lag19,0.8515334899509394
v02a,AAPL,roll_sd_ret5d_147d,roll_sd_ret21d_251d,0.851525447986946
v02a,FDX,roll_sd_ret5d_147d,roll_sd_intraday_251d,0.8509424071568987
v02a,CVX,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d,0.8495338442124757
v02a,HAL,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d_lag7,0.8491635489425134
v02a,CVX,atr11_open,roll_sd_intraday_61d,0.8491278400405349
v02a,SBUX,corr_ema20_sma50_199d,corr_ema20_sma50_251d,0.8490878052467922
v02a,AAPL,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d_lag7,0.8480439156945437
v02a,FDX,roll_sd_ret1d_61d,roll_sd_intraday_61d,0.8478625561991356
v02a,SBUX,atr11_open,roll_sd_ret1d_61d,0.8474285766247547
v02a,FDX,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d,0.8467386799196804
v02a,HAL,atr17_open,roll_sd_ret1d_61d,0.8466838022493188
v02a,HAL,roll_sd_ret1d_147d,roll_sd_ret21d_251d_lag7,0.8466804263569554
v02a,CVX,roll_sd_ret5d_147d_lag11,roll_sd_intraday_251d,0.846127738232931
v02a,CVX,roll_sd_ret5d_147d_lag5,roll_sd_intraday_251d,0.8457383544654015
v02a,FDX,roll_sd_ret1d_61d,roll_sd_ret5d_147d,0.845600598354586
v02a,FDX,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d_lag7,0.8440214164781731
v02a,SBUX,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d,0.8426711606833595
v02a,SBUX,roll_mean_ret5d_61d,ma_cross_l,0.8425930790575155
v02a,AXP,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d_lag19,0.8425504678051029
v02a,CVX,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d,0.8419457519623
v02a,HAL,roll_sd_ret1d_61d,roll_sd_ret1d_147d,0.8416788563685231
v02a,CVX,roll_sd_ret5d_147d,roll_sd_intraday_251d,0.8415721826424947
v02a,SBUX,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d_lag7,0.840804672672539
v02a,AXP,roll_sd_ret1d_61d,roll_sd_ret5d_147d_lag5,0.840484865623213
v02a,CVX,roll_sd_ret21d_251d,roll_sd_intraday_251d,0.8403218941607014
v02a,AAPL,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d_lag19,0.8402545451857931
v02a,CVX,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d_lag7,0.8400814771483981
v02a,AXP,roll_sd_ret5d_147d,roll_sd_ret21d_251d_lag7,0.8394218305930278
v02a,AAPL,roll_sd_ret5d_147d,roll_sd_ret21d_251d_lag7,0.8381789576231906
v02a,HAL,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d_lag19,0.8380087708203655
v02a,FDX,atr17_open,roll_sd_intraday_61d,0.8378154951414529
v02a,HAL,atr17_open,roll_sd_intraday_61d,0.837560971433621
v02a,HAL,roll_sd_ret1d_147d,roll_sd_ret21d_251d_lag19,0.837041865199726
v02a,HAL,roll_sd_ret5d_147d,roll_sd_ret21d_251d_lag7,0.834764806355055
v02a,AXP,roll_sd_ret1d_147d,roll_sd_ret21d_251d,0.834270870877171
v02a,CVX,atr11_open,roll_sd_ret1d_61d,0.8337882389690959
v02a,AAPL,roll_sd_ret1d_61d,roll_sd_ret1d_147d,0.8328642005968216
v02a,FDX,roll_sd_ret5d_147d,roll_sd_ret21d_251d,0.8323763903324262
v02a,FDX,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d_lag19,0.8323078478406659
v02a,FDX,atr11_open,roll_sd_ret1d_61d,0.8322419943823267
v02a,SBUX,roll_sd_ret1d_61d,roll_sd_ret5d_147d,0.8320680796316134
v02a,SBUX,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d_lag19,0.8320122945175731
v02a,CVX,roll_sd_ret5d_147d,roll_sd_ret21d_251d,0.8319572795810152
v02a,SBUX,roll_sd_ret5d_147d,roll_sd_ret21d_251d,0.8318395541910932
v02a,CVX,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d_lag19,0.8316945417578364
v02a,HAL,roll_sd_ret1d_61d,roll_sd_ret5d_147d,0.8316612573116682
v02a,AAPL,roll_sd_ret1d_147d,roll_sd_ret21d_251d,0.8296844713272001
v02a,AAPL,roll_sd_ret5d_147d,roll_sd_ret21d_251d_lag19,0.8293996836503206
v02a,AAPL,roll_mean_ret5d_61d,ma_cross_l,0.8280426995885793
v02a,FDX,roll_sd_ret21d_251d,roll_sd_intraday_251d,0.8280261566648005
v02a,CVX,roll_sd_intraday_251d,roll_sd_ret21d_251d_lag7,0.8276810705978217
v02a,AXP,roll_sd_ret5d_147d,roll_sd_ret21d_251d_lag19,0.8270132620536051
v02a,SBUX,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d_lag7,0.8269677944050307
v02a,CVX,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d_lag7,0.8266285083010173
v02a,FDX,roll_sd_ret1d_61d,roll_sd_ret5d_147d_lag5,0.8260581962477409
v02a,FDX,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d_lag7,0.825800101472676
v02a,AMD,roll_mean_ret5d_61d,ma_cross_l,0.8247974155315244
v02a,HAL,roll_sd_ret5d_147d,roll_sd_ret21d_251d_lag19,0.822488032186987
v02a,SBUX,roll_sd_ret5d_147d_lag11,roll_sd_intraday_251d,0.8209930873715034
v02a,SBUX,roll_sd_ret1d_147d,roll_sd_ret21d_251d,0.8189484473179353
v02a,SBUX,roll_sd_ret5d_147d_lag5,roll_sd_intraday_251d,0.8189228214817452
v02a,CVX,roll_sd_intraday_251d,roll_sd_ret21d_251d_lag19,0.8178529760968444
v02a,AXP,roll_mean_ret5d_61d,ma_cross_l,0.8167116320462011
v02a,SBUX,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d_lag19,0.8163659392044922
v02a,AAPL,roll_sd_ret1d_147d,roll_sd_ret21d_251d_lag7,0.8160878247922208
